网游名称,画面,画风,开发商,运营商,题材,模式,收费,评论,类型,开发时间,背景
枪的世界,3D,Q版,Exato,,现代,即时,未确定,16,第一人称射击,,"《枪的世界》（Guncraft）是由Exato游戏工作室开发的一款像素方块风格的第一人称射击网游。游戏风格和之前风靡全球的《我的世界》、还有《方块战争》十分相近，都支持玩家发挥想象力，进行各种DIY。
 "
撸倒军团,3D,半Q版,Edge of Reality,,奇幻,即时,未确定,30,第三人称射击,,《撸倒军团》（loadout）是一款由Edge of Reality开发的3D免费TPS网游。本作画面风格偏向卡通，但却有着非常夸张华丽的动作系统，以及血腥暴力的视觉体验。同时自由度极高的枪支改装内容也是非常值得一玩的内容。
龙影,2D,半写实,智艺网络,智艺网络(大陆),奇幻,即时,道具收费,16,大型角色扮演,"游戏于2007年05月入库，
                  共2次测试","　　与以往的传统MMORPG不同，《龙影》具有很多独具匠心的特色：
　　独具特色的冒险地图　　《龙影》为玩家提供了一座辽阔充满魔力的冒险世界。黑暗恐怖的地下城，雄伟壮观的城市，雨季湿润的草原，寒冷落雪的北方山脉，气候变化媲美真实世界，带给玩家完全不同的...          
        <div>
          　　与以往的传统MMORPG不同，《龙影》具有很多独具匠心的特色：
　　独具特色的冒险地图　　《龙影》为玩家提供了一座辽阔充满魔力的冒险世界。黑暗恐怖的地下城，雄伟壮观的城市，雨季湿润的草原，寒冷落雪的北方山脉，气候变化媲美真实世界，带给玩家完全不同的视觉体验。
　　轻松激烈的战斗系统　　游戏的战斗采用了网络游戏中最受欢迎的即时战斗方式，这种战斗方式简洁、爽快、富于变化。同时玩家在组队的战斗中能得到更多乐趣，如何把握向敌人发动攻击的时机，怎样部署和分配战斗力，队伍之间不同职业的配合，这些因素共同构成了充满战略性的战斗。
　　丰富繁忙的生活系统　　在《龙影》的世界中，生活是如此的丰富忙碌，玩家可以选择扮演各种各样的人物，体验各自与众不同的人生。进入阿哥尼斯大陆后，你就会发现这里有数不清的事情需要你来完成，铁匠们把刚刚打造好的武器放在架子上，等着拿到市场上去拍卖，城市另一边的街角上，野猪肉早已被烤得皮酥肉嫩，发出阵阵香气。冒险者和旅行者们快步来往于酒馆和雇佣兵营之间，希望接到能让自己名声大震的工作。这些忙碌的人都是真实生活在世界各个角落的玩家，你和他们一样，可以在这里享受生活，在这里赢得荣誉，在这里体验另外一种真实而又充满魔力的人生。
　　史诗般的任务系统　　《龙影》中有几百个精彩有趣的任务，这些任务不但在剧情上引人入胜，在进行过程中也充满乐趣。一些生活在阿哥尼斯大陆上的生物心怀鬼胎，他们精心设计陷阱引你进入他们的阴谋，你必须留心他们的每句话每个动作，注意你身边的细微线索才能捉住救命稻草。在苦难和黑暗中，你会感激你能拥有那些站在你背后支持着你的朋友，你们并肩战斗，为了世界能够幸存下来与恶魔和黑暗领主周旋，每一段剧情，每一场战斗，都充满了激情，电影般的表现手法让你身临其境，你将会感受到自己的勇气和力量，你将会谱写属于自己的史诗。        </div>
      
      [查看详细]"
超级乒乓,3D,半Q版,ACTOZ,盛大游戏(大陆),现代,即时,道具收费,8,体育,"游戏于2007年09月入库，
                  共3次测试","　　韩国著名网络游戏公司ACTOZ研发的首款网络乒乓球游戏《X-SPIN》不仅在画面上更加适合乒乓球光线的需要，在击球方式方法中也增加了更多变化，提高了游戏可玩性的同时能让玩家体验更真实的乒乓球乐趣。
　　盛大网络公司正式宣布代理由韩国Actoz倾力制作的乒乓网...          
        <div>
          　　韩国著名网络游戏公司ACTOZ研发的首款网络乒乓球游戏《X-SPIN》不仅在画面上更加适合乒乓球光线的需要，在击球方式方法中也增加了更多变化，提高了游戏可玩性的同时能让玩家体验更真实的乒乓球乐趣。
　　盛大网络公司正式宣布代理由韩国Actoz倾力制作的乒乓网游《X-UP》，中韩双方都非常重视这款将在中国首发的奥运网游，连日来加班加点得努力工作，就是期望能够将最好的游戏品质，尽快得奉献给广大热爱乒乓球的中国玩家。
　　目前，在研发和运营团队的同心协力下，游戏有了不断的改进，也更加符合了中国玩家的口味。同时决定将这款万众期待的新一代奥运竞技网游，在中国正式定名为《X-乒乓》，并会在不久的将来，与广大玩家正式见面。        </div>
      
      [查看详细]"
F1 OL,3D,写实,Codemasters,,现代,即时,道具收费,19,体育,,《F1 Online》是Codemasters开发的一款赛车网游，游戏的类型为模拟F1车队的赛季运营和日常管理。基于该公司开发的《F1 2010》的基础上开发制作的，游戏中将有官方授权的实名车队和车手登场，还有来自国际汽联确认的新赛季所有分站赛。
超魔导大战,3D,Q版,宇峻奥汀,,魔幻,即时,道具收费,20,大型角色扮演,,"《超魔导大战OL》是台湾宇峻奥汀研发的卡通题材网游，在《超魔导大战OL》中，玩家将化身为光之超魔导，成为两大势力对峙中抵抗黑暗力量的勇者。游戏具备战士、弓箭手、魔导士、修士、工匠等丰富职业，结合超魔导变身系统，让玩家装备超魔导核心、累积足够的SP，就可...          
        <div>
          《超魔导大战OL》是台湾宇峻奥汀研发的卡通题材网游，在《超魔导大战OL》中，玩家将化身为光之超魔导，成为两大势力对峙中抵抗黑暗力量的勇者。游戏具备战士、弓箭手、魔导士、修士、工匠等丰富职业，结合超魔导变身系统，让玩家装备超魔导核心、累积足够的SP，就可变身比一般角色更为强大的超魔导，而游戏还具备包括可以施展合体的宠物系统等。        </div>
      
      [查看详细]"
头脑风暴,2D,写实,Genia,,现代,回合,道具收费,19,模拟经营,,"《头脑风暴》(暂译，原名：Genia: Brain Storm)是一款十分考验玩家头脑的网络游戏。在游戏的过程中，需要玩家运用到现实世界中的知识来解决游戏内的问题。每场游戏内可容纳5000名玩家，游戏服务器每30天就会重置一次。一个人的智慧是有限的，如果想要达到最终胜利，...          
        <div>
          《头脑风暴》(暂译，原名：Genia: Brain Storm)是一款十分考验玩家头脑的网络游戏。在游戏的过程中，需要玩家运用到现实世界中的知识来解决游戏内的问题。每场游戏内可容纳5000名玩家，游戏服务器每30天就会重置一次。一个人的智慧是有限的，如果想要达到最终胜利，就必须同其他玩家一道，利用集体的智慧来解决问题。        </div>
      
      [查看详细]"
能量英雄,3D,半Q版,DSC Studio22,,科幻,即时,未确定,9,第三人称射击,,能量英雄是一款免费的科幻风格第三人称射击团战游戏，融合了MOBA玩法和多人竞技玩法。
飘邈之旅,3D,半写实,智冠电子,悠游网(大陆),奇幻,即时,道具收费,461,大型角色扮演,"游戏于2006年12月入库，
                  共7次测试",《飘邈之旅 Online(Xenjo Journeys)》是由智冠高雄研发部与智乐堂Zealot Digital合作开发的3DMMORPG。游戏改编自同名网络小说《飘邈之旅》
猛将传OL,2D,半写实,北京贝海,北京数联(大陆),奇幻,即时,道具收费,52,大型角色扮演,"游戏于2007年06月入库，
                  共5次测试",《猛将传OL》是一款以三国历史为背景的大型横版动作网络游戏，既强调动作游戏般的爽快战斗又融入大量RPG游戏特点，玩家从RPG式的个人历练开始到参与工会战争，国家战争，逐渐吞并敌国，统一天下。
梦幻迪士尼,2.5D,半Q版,网龙公司,网龙公司(大陆),奇幻,即时,道具收费,86,大型角色扮演,"游戏于2009年04月入库，
                  共6次测试",《梦幻迪士尼》是由网龙和迪士尼联合开发的2.5D奇幻MMORPG.
海洋骑士团,3D,Q版,ACTOZ,盛大游戏(大陆),现代,即时,道具收费,31,竞速,"游戏于2009年05月入库，
                  共3次测试",《AQUAQU》是由Actoz开发，盛大代理的一款水上竞速网游。中文名暂定：海洋骑士团
汉武大帝,2.5D,半写实,百游,百游(大陆),历史,即时,道具收费,430,大型角色扮演,"游戏于2011年06月入库，
                  共6次测试","《汉武大帝》是百游旗下的2.5D MMORPG历史战争网游。游戏的背景故事取材于中国汉武帝时期，展现了西汉时期，中原大地抗击匈奴的那个名将辈出的年代！并在此背景基础上建立了一个全新的世界，将中国历史与虚构的故事背景完美结合，使玩家体验游戏的同时，也能感受到华...          
        <div>
          《汉武大帝》是百游旗下的2.5D MMORPG历史战争网游。游戏的背景故事取材于中国汉武帝时期，展现了西汉时期，中原大地抗击匈奴的那个名将辈出的年代！并在此背景基础上建立了一个全新的世界，将中国历史与虚构的故事背景完美结合，使玩家体验游戏的同时，也能感受到华夏文明的浩瀚和无穷魅力。        </div>
      
      [查看详细]"
轩辕仙境,3D,Q版,极致点击,极致点击(大陆),玄幻,回合,道具收费,137,大型角色扮演,"游戏于2012年03月入库，
                  共1次测试",《轩辕仙境》是由极致点击（北京）科技有限公司研发的一款3D卡通风格回合制网游。
PiStory,2D,Q版,,,奇幻,回合,道具收费,1,大型角色扮演,,　　Ncony公司开发的MMORPG《PI STORY》里玩家可以组最多8个人的队伍，并在多种不同的地图上进行战斗。玩家还可以以Blog的形式储存自己的故事。在游戏里通过自己的房子进行交易，或装扮房间也变为可能。
宠物创世纪,2D,Q版,诺亚舟,诺亚舟(大陆),奇幻,即时,道具收费,18,益智解谜,,"　　精灵涌现，盛世来袭！《宠物创世纪》是诺亚舟教育科技有限公司北京分公司今夏强势推出的一款学习娱乐教育游戏产品。它率先将风靡全球的电子宠物养成系统与科学实用的英文单词学记体系紧密相交，玩家在引领宠物精灵完成一系列奇趣好玩的任务过程中获取经验值，借...          
        <div>
          　　精灵涌现，盛世来袭！《宠物创世纪》是诺亚舟教育科技有限公司北京分公司今夏强势推出的一款学习娱乐教育游戏产品。它率先将风靡全球的电子宠物养成系统与科学实用的英文单词学记体系紧密相交，玩家在引领宠物精灵完成一系列奇趣好玩的任务过程中获取经验值，借此实现游戏升级，进而可以幻化为炫酷时尚的宠物形态。与此同时，玩家将在潜移默化的过程中积累海量的英文词汇。真正为一款集合了教育、模拟、养成、益智等多重元素于一身的新兴游戏产品。        </div>
      
      [查看详细]"
岐山,3D,半Q版,八泽游戏,八泽游戏(大陆),玄幻,即时,道具收费,375,大型角色扮演,"游戏于2010年07月入库，
                  共4次测试","《岐山》，取意于周文王“凤鸣岐山”，是以商周交替时著名神话小说《封神榜》为蓝本改编的修仙神话网游。游戏采用了新式[墨线+淡彩]美术设计，整体画面淳朴唯美，民族、文化、艺术达成了一统。游戏以中华道教修仙文化为内涵，将道教精髓：轮回转世、练道修...          
        <div>
          《岐山》，取意于周文王&ldquo;凤鸣岐山&rdquo;，是以商周交替时著名神话小说《封神榜》为蓝本改编的修仙神话网游。游戏采用了新式[墨线+淡彩]美术设计，整体画面淳朴唯美，民族、文化、艺术达成了一统。游戏以中华道教修仙文化为内涵，将道教精髓：轮回转世、练道修仙、阴阳五行、降妖布阵、炼丹炼器、奇门遁甲充分地融入游戏。        </div>
      
      [查看详细]"
快乐无双,2D,Q版,芒果游戏,芒果游戏(大陆),奇幻,即时,道具收费,106,大型角色扮演,"游戏于2011年02月入库，
                  共2次测试",《快乐无双》是湖南卫视芒果游戏自主研发的一款2D Q版网络游戏。
盘古战纪,2D,半写实,龙图智库,天航网络(大陆),玄幻,即时,道具收费,536,大型角色扮演,"游戏于2011年03月入库，
                  共2次测试","《盘古战纪》是一款融合中国风的古代神话元素的2D MMORPG，她是以黄帝与蚩尤的战争作为创作蓝本，使用全新的市场经营模式，创造出一个时间与价值之间可自由转化的交互平台。游戏以轩辕人族、蚩尤巫族两大种族的对立为背景，描述了“人、巫大战”后期，两族...          
        <div>
          《盘古战纪》是一款融合中国风的古代神话元素的2D MMORPG，她是以黄帝与蚩尤的战争作为创作蓝本，使用全新的市场经营模式，创造出一个时间与价值之间可自由转化的交互平台。游戏以轩辕人族、蚩尤巫族两大种族的对立为背景，描述了&ldquo;人、巫大战&rdquo;后期，两族实力相当、不分上下，西王母命九天玄女携奇异兵书下界，引导众生脱离战乱的故事为主线，真实地再现上古时期，盘古大陆上人、巫两族围绕玄女手中之关键，既而战斗的宏大场面。        </div>
      
      [查看详细]"
真实足球,2.5D,写实,Neovian,,现代,即时,道具收费,22,MOBA,,《真实足球OL》是款强调写实性的足球网络游戏。目前游戏正在进行相当于2.0版本的大规模更新。就是维持现有游戏性的基础上提高游戏的品质。
On Green,3D,写实,GOLFZON,,现代,即时,未确定,4,体育,,《On Green》（曾用名：Project OG）是一款由韩国高尔夫设备制作商GOLFZON开发的高尔夫模拟游戏，玩家可以在游戏中感受到真实的打击感，而由Cry3打造的画面更是带来了视觉上的享受。
大话战国2,2D,Q版,网游数码,网尚互动(大陆),历史,即时,道具收费,204,大型角色扮演,"游戏于2005年10月入库，
                  共2次测试","　　《大话战国2》（原：大话战国归来）是由广州网游数码科技有限公司自主研发的一款全新的网络游戏。凭借着公司核心开发人员多年从事网络游戏开发的经验，并在多款游戏得到玩家大众认可喜爱的前提下，继续以一种全新的理念开发这款以中国战国时期为题材背景的Ｑ版武...          
        <div>
          　　《大话战国2》（原：大话战国归来）是由广州网游数码科技有限公司自主研发的一款全新的网络游戏。凭借着公司核心开发人员多年从事网络游戏开发的经验，并在多款游戏得到玩家大众认可喜爱的前提下，继续以一种全新的理念开发这款以中国战国时期为题材背景的Ｑ版武侠即时战斗大型角色扮演类网络游戏（MMORPG）。　　《大话战国Online》在广州网游数码科技有限公司设计师们的努力下，无论是在场景、人物、物品、门派、武功、情节，还是玩法上面，都为玩家们带来身临古代战国其境的体验。《战国Ⅱ Online》的游戏界面也是如此，并且更加贴心，更加人性化。

　　《大话战国Online》拥有极其浓厚的文化底蕴基础，游戏以春秋战国作为其时代背景，游戏界面自然也和文化脱离不了关系。进入游戏后，映入玩家眼帘的便是一个&ldquo;秦时明月汉时关&rdquo;式的游戏界面。玩家的气血、法力和经验条在祥云的衬托下悬挂在界面左上方，而右上方的小地图同样被祥云所环绕，如晴空万里之上，透过白云点点，鸟瞰整个游戏地图。在界面下方，构筑了一座气势磅礴的古代城楼，游戏中的各个功能按钮与宽厚雄伟的城墙融为一体，代表着战斗与荣耀的战旗高耸入云，冉冉飘动。整个游戏界面以青铜绿为主要色调搭配，处处都散发出浓厚的古战国气息。游戏界面与场景的搭配更是浑然一体，不仅给玩家一种自然协调的感觉，而且让玩家深深感受到战国时代铁马金戈的雄壮气势。
　　《大话战国Online》不仅在界面风格设计中独树一格，在功能操作设计上，不仅简洁明了，并且便利快捷，做得十分出色。例如快捷栏的设计，为了方便玩家操作，游戏中道具快捷栏与技能快捷栏区分为不同两类。数字键1～6对应的是道具快捷栏，在游戏中以6个烽火台表示，而技能快捷栏则对应功能键F1～F8。另外，配合界面中的操作按钮，所对应的各个快捷键都分布在键盘的左方，这样可以很自然地配合玩家操作键盘的手势，无论是练级还是PK，只需轻松地移动几个手指，便能十分流畅地使用各种配合操作。
　　在游戏帮助的设定上，除了每个界面功能按钮都有简易提示外，只要鼠标悬停在界面中相应的地方，帮助框中便会显示其相关的功能说明。如此贴心的设计，就算是一个刚刚接触游戏的小菜鸟，也能十分轻松快速地掌握这款游戏的各种操作了。
　　&ldquo;会挽雕弓如满月，西北望，射天狼&rdquo;，于《大话战国Online》中，把中国古代文化融会到无数个设计细节之中，让您感受中国古代战争的雄壮气势，以及将士功臣的远大抱负！
　　－故事背景
　　公元前403年，曾经强盛一时的晋国也难逃灭亡的命运，晋国大夫韩虔、赵籍、魏斯三家自立为诸侯，晋国被分裂为韩、赵、魏三个诸侯国家。此时，各诸侯国之间的形势已经确立，秦、赵、楚、齐、魏、燕、韩成为了当时的最强者，这便是历史上所记载的""战国七雄""。
　　为了争夺天下的霸权，七国之间争战不休，而其周边各弱小诸侯国，也纷纷难逃被吞并的命运。
　　直到公元前305年，突天降异象，两颗巨大的天石分别坠落在太行山与泰山之巅，此次撞击撼动了整个天下，撞击后碎石与粉尘形成的黑雾遮敝了整个天空七日七夜之久而不散。当黑气尽散后，太行山与泰山之顶出现了两个深不可测的神秘洞穴&hellip;&hellip;
　　随着神秘洞穴的出现，各地相继传出夜间会有妖怪出没杀害平民的谣言。而各国诸侯却仍专注于并吞他国，争权天下之事，并无将此放在心上。
　　二十年后，历史上却发生了一件惊天动地之事。秦赵两国于长平决战，由武安君白起所统领的秦国大军大破赵国的军队。面对四十五万之众的赵国降兵，武安君却轻描谈写地以""上党之民反覆，非尽杀之，恐为乱""为由，尽将降军活埋坑杀于长平。此举立当震惊天下，闻者无不变色。
　　长平之役后，妖怪出没的谣言已转变为事实。不只是夜间，就连光天白日之下，妖怪也成群出没袭击人类的村落。
　　一切似乎意味着，一场更大的浩劫即将降临人间。各地奇怪风言四起：武安君实乃上古魔神蚩尤之化身。四处出没的妖怪便是千年前被黄帝所封印的九黎魔族。白起一日不除，这个天下迟早会化为人间炼狱。
　　尽管不知谣言所述是否真实，但在相国范睢的力谏下，秦昭王还是将白起赐死于杜邮之地。
　　一切是否就此了结？武安君白起是否真如谣言所述是魔神蚩尤的化身？而太行山与泰山上出现的神秘洞穴是否与之有所联系？里面又隐藏了什么秘密？
　　在这纷乱的年代，无数英雄豪侠辈出，或是仗剑天下，斩妖除魔，拯救黎民百姓于水深火热之中。或是投效明主，在战场上创出一番丰功伟绩？赶快握紧您手中的宝剑，加入这个战国时代，更多的谜底等待着您来解开，更多的传奇等待着您来缔造！        </div>
      
      [查看详细]"
星空传奇,2D,半Q版,西安纷腾,艺为网络(大陆),科幻,回合,道具收费,45,大型角色扮演,"游戏于2010年03月入库，
                  共3次测试","《星空传奇》是由上海艺为运营的大型科幻类MMORPG网络游戏。《星空传奇》里所有的战事都在浩渺星空中进行，在此玩家可以扮演不同职业的，驾驶相应的机体征战太空,让每一位玩家实现自己的太空英雄梦。"
三国游侠,2.5D,半写实,中青宝,中青宝(大陆),历史,即时,道具收费,1048,大型角色扮演,"游戏于2010年08月入库，
                  共3次测试",《三国游侠》是中青宝开发运营的一部以三国历史题材为背景的2.5D MMORPG网游。
跳跳堂,3D,Q版,,,奇幻,即时,道具收费,7,竞速,"游戏于2006年04月入库，
                  共1次测试","　　新形态竞速休闲游戏，《跳跳堂》横空出世！在韩国，以其势不可挡的人气魅力稳居网游人气榜前列，被誉为革命性的竞速网络游戏！目前，这款由上海盛大网络发展有限公司独家代理运营的黑马游戏已来到中国，将于近期正式内测。　　《跳跳堂》是一款新生的竞速游戏。...          
        <div>
          　　新形态竞速休闲游戏，《跳跳堂》横空出世！在韩国，以其势不可挡的人气魅力稳居网游人气榜前列，被誉为革命性的竞速网络游戏！目前，这款由上海盛大网络发展有限公司独家代理运营的黑马游戏已来到中国，将于近期正式内测。　　《跳跳堂》是一款新生的竞速游戏。游戏完全颠覆了传统竞速类游戏的对战模式，游戏摆脱了平面束缚，超越了地面限制。玩家驾驶弹跳飞行器或冲入太空，或俯下山涧，上天入地，无所不能。领略全方位的立体视角。高低落差的逼真画面效果不亚于睁开眼睛坐过山车，让人心跳的刺激感更是成为吸引玩家瞩目的焦点。　　作为一款休闲类网游，《跳跳堂》操作设计体贴入微，非常容易上手。只要使用方向键控制人物前进方向即可。除了速度的比拼之外，更有丰富多样的游戏道具用来陷害对手，使用字母Z、X键即可轻松完成。整个游戏六个按键轻松搞定。即使是从来没玩多游戏的超级菜鸟也能轻易掌握。卡通3D人物造型、幽默搞笑的游戏细节，加之丰富多彩的比赛地图，让您仿佛置身于一个童话的王国，尽情享受游戏带给您的无穷乐趣。　　《跳跳堂》还未登陆中国，就已经创造了无数个第一。        </div>
      
      [查看详细]"
黑色预言,3D,写实,Reakktor,,奇幻,即时,道具收费,57,第一人称射击,,由德国游戏开发商Reakktor Media开发，《Black Prophecy》（暂译：《黑色预言》）是一款快节奏的3D即时太空战斗网游。游戏主打精致的游戏画面，PvP 战斗以及引人的故事情节也是游戏的主要卖点。
高尔夫之星,3D,半Q版,,,现代,即时,道具收费,13,体育,,《高尔夫之星》是由韩国Com2us公司开发的真实高尔夫球网游，游戏融入了充满优美景观的高尔夫球场，加上角色的细致动作，玩家在挑战时、依据每洞环境特性的不同，将会展现出球击飞出去的实际感受，以最大化线上玩高尔夫球的乐趣。
逆天,2.5D,半写实,尚游游戏,尚游游戏(大陆),玄幻,即时,道具收费,284,大型角色扮演,"游戏于2011年08月入库，
                  共2次测试",《逆天》是尚游游戏推出的一款仙侠题材的2.5D即时制PK网游。游戏讲究操作和意识，强调有技术含量的PK。同时，游戏采用最新的客户端优化技术，使玩家在战斗中能享受到行云流水般的流畅体验。
沙滩排球OL,3D,写实,,,现代,即时,道具收费,17,体育,,"　　《BEVA online》在球和角色上使用了物理引擎，使其运动更为真实化。独立的物理引擎和模型截取使玩家操作感增强，队员之间还能有机地进行配合。游戏里不仅可以拦截飞过去的球，还能进行封锁攻击渠道的2人拦网。
　　本来沙滩排球是2V2的体育项目，但《BEVA onlin...          
        <div>
          　　《BEVA online》在球和角色上使用了物理引擎，使其运动更为真实化。独立的物理引擎和模型截取使玩家操作感增强，队员之间还能有机地进行配合。游戏里不仅可以拦截飞过去的球，还能进行封锁攻击渠道的2人拦网。
　　本来沙滩排球是2V2的体育项目，但《BEVA online》为了强化团队赛，最多能支持3V3。因此，游戏里可进行快速攻击和拦网、做假动作等多种排球战略。        </div>
      
      [查看详细]"
盛世缘,2D,半写实,旺游网络,旺游网络(大陆),奇幻,回合,道具收费,39,大型角色扮演,"游戏于2009年02月入库，
                  共1次测试","《盛世缘》是一款由成都市旺游科技有限责任公司自主研发的大型多人在线回合制游戏。该游戏集角色扮演、休闲娱乐为一体，完美融合当今主流回合制网络游戏的各类特色要素，具有丰富的趣味玩法和增强的玩家互动。在游戏具体背景上糅合中国盛唐时期和传统中国神话背景，...          
        <div>
          《盛世缘》是一款由成都市旺游科技有限责任公司自主研发的大型多人在线回合制游戏。该游戏集角色扮演、休闲娱乐为一体，完美融合当今主流回合制网络游戏的各类特色要素，具有丰富的趣味玩法和增强的玩家互动。在游戏具体背景上糅合中国盛唐时期和传统中国神话背景，形成一个新的架空玄幻历史背景。力图表现中国盛唐的繁华，并同时再现耳熟能详的中国民间传统神话。让新生代玩家在游戏过程中不但能玩到当今流行的修真、玄幻、寻古探幽，还能体味具有中国特色的情感故事。阅历丰富的玩家也能在游戏中重温似曾相识的情节，熟悉的背景。        </div>
      
      [查看详细]"
天生战狂,3D,写实,Fun Tree,,奇幻,即时,道具收费,27,第一人称射击,,由韩国Fun Tree公司开发的FPS网络游戏《BornToFire》，是可根据战略战术从5款角色中选一，进行游戏的FPS网络游戏。刚开始，玩家只能选择一款角色，等经验积累的一定程度就可以选择其他游戏角色。在游戏中，玩家可根据所获得经验获得成就感。
神迹,3D,半写实,盛大游戏,盛大游戏(大陆),武侠,即时,道具收费,13,大型角色扮演,"游戏于2004年12月入库，
                  共1次测试",　《神迹》是由2004年由盛大自主研发的3D网络角色扮演游戏，并且是第一款进军国际市场的3D网络游戏。游戏的背景为玩家耳熟能详的东方神话故事，游戏中共分力士、丹士、术士三大职业体系，玩家可自行选择成仙化魔。
魔咒OL,3D,写实,亚米多,添翌网络(大陆),奇幻,即时,道具收费,88,大型角色扮演,"游戏于2007年12月入库，
                  共7次测试","《魔咒OL》游戏以东方和西方两种不同文化为背景，第一次将东西方两种完全不同的文明完美的交融为一体，突破了目前所有网游的片面性，呈现给玩家一个独特而真实的世界。在这个世界里，你既可以感受到古老东方神秘独特的文化，又可以寻觅到西方遗失的文明。通过对不同...          
        <div>
          《魔咒OL》游戏以东方和西方两种不同文化为背景，第一次将东西方两种完全不同的文明完美的交融为一体，突破了目前所有网游的片面性，呈现给玩家一个独特而真实的世界。在这个世界里，你既可以感受到古老东方神秘独特的文化，又可以寻觅到西方遗失的文明。通过对不同文化进行对比与融合的方式来衬显中华民族文化的博大辉煌。        </div>
      
      [查看详细]"
碰碰车OL,3D,Q版,,,奇幻,即时,道具收费,11,社交,,"　《碰碰车OL》的故事背景在一处梦幻游乐园地中，人类、动物、妖精、小恶魔4个种族快乐的同居共住，平日都以精心装扮自己钟爱的交通工具“碰碰车”为喜好，而在游乐园中最大受欢迎的休闲活动，就是以碰碰车来进行名为“碰碰车”的竞赛，以将对手...          
        <div>
          　《碰碰车OL》的故事背景在一处梦幻游乐园地中，人类、动物、妖精、小恶魔4个种族快乐的同居共住，平日都以精心装扮自己钟爱的交通工具&ldquo;碰碰车&rdquo;为喜好，而在游乐园中最大受欢迎的休闲活动，就是以碰碰车来进行名为&ldquo;碰碰车&rdquo;的竞赛，以将对手碰撞出局的胜利为乐，并乐此不疲。
　　《碰碰车OL》拥有十分可爱的人物，玩家在游戏中可以选择野猪、小松鼠、鱷鱼、老鼠，甚至是老爷小火车、钢弹战士等上百种可爱逗趣风格的载具，作为自己的碰碰车参与竞速。
　　除了竞技场上冲撞对战，游戏也规划了小镇社群系统，玩家可在其中交朋友、交情侣、送礼物、交易道具、举办公会同乐活动、进行友谊战，或是在停车场展示炫耀自己费心装饰的酷炫碰碰车。        </div>
      
      [查看详细]"
热血,2D,Q版,OpusStudio,八泽游戏(大陆),历史,即时,道具收费,4,大型角色扮演,"游戏于2005年08月入库，
                  共1次测试","　　《热血》由香港著名游戏制作团队“OPUS”历时两年，耗资千万精心研发而成的即时制MMORPG，目前正处于公测阶段。这款“两栖”网游以游戏生活“两栖化”为特色，同时拥有陆上和海上两个完备的游戏场景和游戏系统，游戏内容丰富，玩...          
        <div>
          　　《热血》由香港著名游戏制作团队&ldquo;OPUS&rdquo;历时两年，耗资千万精心研发而成的即时制MMORPG，目前正处于公测阶段。这款&ldquo;两栖&rdquo;网游以游戏生活&ldquo;两栖化&rdquo;为特色，同时拥有陆上和海上两个完备的游戏场景和游戏系统，游戏内容丰富，玩法多样。独特的英雄系统和创新的山寨战役，让枯燥乏味的战斗变的丰富多彩；而波澜壮阔的磅礴海战,则让游戏有了更多更新鲜的体验。公测以来，《热血》十五组服务器全面飘红，精彩无限的&ldquo;百万宝贝&rdquo;活动和全新开放的坐骑系统更让玩家们大呼过瘾。        </div>
      
      [查看详细]"
拍拍部落,3D,Q版,N-Pic Soft,天游(大陆),现代,即时,道具收费,10,体育,"游戏于2007年03月入库，
                  共3次测试","　　宠物乱战，魔法华丽！首款运动养成RPG
　　《拍拍部落》以“魔法”和“宠物”作为主题，通过“网球比赛”方式进行的运动养成RPG游戏。单纯网球比赛仅仅是《拍拍部落》游戏世界中的冰山一角！宠物战、魔法战，多种奇趣小游戏，带...          
        <div>
          　　宠物乱战，魔法华丽！首款运动养成RPG
　　《拍拍部落》以&ldquo;魔法&rdquo;和&ldquo;宠物&rdquo;作为主题，通过&ldquo;网球比赛&rdquo;方式进行的运动养成RPG游戏。单纯网球比赛仅仅是《拍拍部落》游戏世界中的冰山一角！宠物战、魔法战，多种奇趣小游戏，带给玩家不一样的新鲜感受。
　　养成是《拍拍部落》的一个特性。
　　宠物也能升级、也能分配属性，与对手作战的时候，宠物比主人还要强大！
　　网球用魔法？没错！风系、火系、冰系、干扰系、变形系&hellip;&hellip;不同流派的魔法，随着网球的击出，都将给与对手无法想像的打击。        </div>
      
      [查看详细]"
启程,3D,半Q版,,飓风闪达(大陆),奇幻,即时,道具收费,93,大型角色扮演,"游戏于2008年08月入库，
                  共3次测试","　　《启程》作为一款奇幻历险唯美3DMMORPG游戏，在融合了神话传奇、童话故事、科幻小说眩目迷离的各种奇异历险的同时，还进行了大量超乎想象的创新，强化了玩家行为与游戏体系的互动，将网络游戏的内涵从娱乐上升华到了虚拟生活的经营，让玩家籍由扮演自己的游戏角...          
        <div>
          　　《启程》作为一款奇幻历险唯美3DMMORPG游戏，在融合了神话传奇、童话故事、科幻小说眩目迷离的各种奇异历险的同时，还进行了大量超乎想象的创新，强化了玩家行为与游戏体系的互动，将网络游戏的内涵从娱乐上升华到了虚拟生活的经营，让玩家籍由扮演自己的游戏角色体验成长、合作、惊奇、真实的幻想世界。        </div>
      
      [查看详细]"
